Adobe After Effects 6.0 Keyframe Data

	Units Per Second	15
	Source Width	854
	Source Height	480
	Source Pixel Aspect Ratio	0.999175
	Comp Pixel Aspect Ratio	0.999175

Anchor Point
	Frame	X pixels	Y pixels	Z pixels	
	458	381.435	262.494	0	
	459	381.654	264.94	0	
	460	382.206	265.796	0	
	461	382.638	266.344	0	
	462	382.77	266.146	0	
	463	381.385	264.554	0	
	464	380.628	263.548	0	
	465	380.057	261.369	0	
	466	379.883	260.262	0	
	467	379.468	257.964	0	
	468	379.438	257.441	0	
	469	379.562	256.851	0	
	470	380.238	255.713	0	
	471	380.792	255.476	0	
	472	381.07	255.132	0	
	473	379.85	254.659	0	
	474	378.094	253.673	0	
	475	377.522	253.297	0	
	476	377.222	253.148	0	
	477	376.759	253.448	0	
	478	377.318	253.557	0	
	479	377.744	253.57	0	
	480	378.423	253.046	0	
	481	378.599	252.865	0	
	482	379.142	252.849	0	
	483	379.384	252.872	0	
	484	379.384	252.872	0	
	485	379.881	252.99	0	
	486	380.214	252.736	0	
	487	380.122	252.365	0	
	488	379.568	251.204	0	
	489	379.627	249.709	0	
	490	379.698	249.404	0	
	491	379.7	249.021	0	
	492	379.686	248.529	0	
	493	379.915	248.252	0	
	494	380.016	248.313	0	
	495	380.49	248.714	0	
	496	380.663	248.836	0	
	497	380.965	248.426	0	
	498	381.073	248.062	0	
	499	381.086	247.398	0	
	500	380.976	246.753	0	
	501	380.81	245.581	0	
	502	381.577	244.323	0	
	503	382.22	243.978	0	
	504	382.219	244.197	0	
	505	381.041	243.848	0	
	506	380.612	243.618	0	
	507	380.403	243.809	0	
	508	380.349	244.609	0	
	509	380.381	246.104	0	
	510	380.32	246.183	0	
	511	380.236	245.959	0	
	512	380.806	246.261	0	
	513	381.377	246.4	0	
	514	382.57	246.185	0	
	515	382.977	245.871	0	
	516	383.5	245.132	0	
	517	383.665	244.372	0	
	518	383.545	244.133	0	
	519	383.98	243.469	0	
	520	384.397	242.321	0	
	521	384.407	241.746	0	
	522	384.377	241.188	0	
	523	384.292	240.665	0	
	524	383.827	239.872	0	
	525	383.42	239.31	0	
	526	383.272	239.175	0	
	527	382.324	239.197	0	
	528	381.924	239.274	0	
	529	381.582	239.506	0	
	530	381.693	240.177	0	
	531	382.084	240.369	0	
	532	382.815	240.328	0	
	533	383.023	240.475	0	
	534	382.933	239.923	0	
	535	383.739	238.63	0	
	536	390.394	245.059	0	
	537	384.274	238.128	0	
	538	385.339	238.024	0	
	539	385.792	238.318	0	
	540	386.654	238.752	0	
	541	387.025	238.706	0	
	542	387.749	238.008	0	
	543	387.898	237.924	0	
	544	387.986	237.837	0	
	545	387.959	237.909	0	
	546	388.078	238.278	0	
	547	388.467	238.994	0	
	548	388.742	239.361	0	
	549	389.037	239.955	0	
	550	389.351	240.716	0	
	551	389.341	245.327	0	
	552	389.664	241.174	0	
	553	389.896	241.86	0	
	554	389.951	242.05	0	
	555	389.937	242.297	0	
	556	389.866	242.423	0	
	557	389.452	242.652	0	
	558	389.612	242.655	0	
	559	390.251	243.493	0	
	560	390.417	243.996	0	
	561	390.491	244.888	0	
	562	390.288	245.024	0	
	563	390.212	245.003	0	
	564	389.663	244.537	0	
	565	388.976	244.009	0	
	566	388.746	243.724	0	
	567	388.484	243.467	0	
	568	388.486	243.47	0	
	569	388.925	243.576	0	
	570	389.248	243.658	0	
	571	388.979	243.381	0	
	572	388.884	243.152	0	
	573	388.722	243.206	0	
	574	388.892	243.51	0	
	575	388.634	243.775	0	
	576	388.922	244.354	0	
	577	389.342	245.334	0	
	578	389.968	245.656	0	
	579	390.623	246.428	0	
	580	390.896	247.412	0	
	581	390.713	248.159	0	
	582	390.949	249.639	0	
	583	390.327	250.301	0	
	584	388.872	250.76	0	
	585	387.957	250.811	0	
	586	386.554	251.093	0	
	587	386.047	250.716	0	
	588	385.39	250.656	0	
	589	384.92	249.402	0	
	590	384.757	248.938	0	
	591	384.392	248.701	0	
	592	384.392	248.701	0	

Position
	Frame	X pixels	Y pixels	Z pixels	
	0	384.845	395.91	0	
	1	384.845	395.91	0	
	2	384.845	395.91	0	
	3	384.845	395.91	0	
	4	384.845	395.91	0	
	5	384.845	395.91	0	
	6	384.845	395.91	0	
	7	384.845	395.91	0	
	8	384.845	395.91	0	
	9	384.845	395.91	0	
	10	384.845	395.91	0	
	11	384.845	395.91	0	
	12	384.845	395.91	0	
	13	384.845	395.91	0	
	14	384.845	395.91	0	
	15	384.845	395.91	0	
	16	384.845	395.91	0	
	17	384.845	395.91	0	
	18	384.845	395.91	0	
	19	384.845	395.91	0	
	20	384.845	395.91	0	
	21	384.845	395.91	0	
	22	384.845	395.91	0	
	23	384.845	395.91	0	
	24	384.845	395.91	0	
	25	384.845	395.91	0	
	26	384.845	395.91	0	
	27	384.845	395.91	0	
	28	384.845	395.91	0	
	29	384.845	395.91	0	
	30	384.845	395.91	0	
	31	384.845	395.91	0	
	32	384.845	395.91	0	
	33	384.845	395.91	0	
	34	384.845	395.91	0	
	35	384.845	395.91	0	
	36	384.845	395.91	0	
	37	384.845	395.91	0	
	38	384.845	395.91	0	
	39	384.845	395.91	0	
	40	384.845	395.91	0	
	41	384.845	395.91	0	
	42	384.845	395.91	0	
	43	384.845	395.91	0	
	44	384.845	395.91	0	
	45	384.845	395.91	0	
	46	384.845	395.91	0	
	47	384.845	395.91	0	
	48	384.845	395.91	0	
	49	384.845	395.91	0	
	50	384.845	395.91	0	
	51	384.845	395.91	0	
	52	384.845	395.91	0	
	53	384.845	395.91	0	
	54	384.845	395.91	0	
	55	384.845	395.91	0	
	56	384.845	395.91	0	
	57	384.845	395.91	0	
	58	384.845	395.91	0	
	59	384.845	395.91	0	
	60	384.845	395.91	0	
	61	384.845	395.91	0	
	62	384.845	395.91	0	
	63	384.845	395.91	0	
	64	384.845	395.91	0	
	65	384.845	395.91	0	
	66	384.845	395.91	0	
	67	384.845	395.91	0	
	68	384.845	395.91	0	
	69	384.845	395.91	0	
	70	384.845	395.91	0	
	71	384.845	395.91	0	
	72	384.845	395.91	0	
	73	384.845	395.91	0	
	74	384.845	395.91	0	
	75	384.845	395.91	0	
	76	384.845	395.91	0	
	77	384.845	395.91	0	
	78	384.845	395.91	0	
	79	384.845	395.91	0	
	80	384.845	395.91	0	
	81	384.845	395.91	0	
	82	384.845	395.91	0	
	83	384.845	395.91	0	
	84	384.845	395.91	0	
	85	384.845	395.91	0	
	86	384.845	395.91	0	
	87	384.845	395.91	0	
	88	384.845	395.91	0	
	89	384.845	395.91	0	
	90	384.845	395.91	0	
	91	384.845	395.91	0	
	92	384.845	395.91	0	
	93	384.845	395.91	0	
	94	384.845	395.91	0	
	95	386.308	367.886	0	
	96	388.057	320.431	0	
	97	389.016	301.825	0	
	98	390.064	275.394	0	
	99	390.853	259.334	0	
	100	390.892	253.495	0	
	101	390.974	245.509	0	
	102	390.986	243.381	0	
	103	391.094	244.767	0	
	104	391.502	248.304	0	
	105	391.451	248.283	0	
	106	391.017	245.958	0	
	107	391.057	245.181	0	
	108	391.133	247.911	0	
	109	390.338	253.806	0	
	110	389.998	256.322	0	
	111	389.933	260.052	0	
	112	389.979	261.832	0	
	113	389.732	264.879	0	
	114	389.5	267.298	0	
	115	389.416	267.799	0	
	116	389.007	267.504	0	
	117	388.698	267.26	0	
	118	388.923	266.518	0	
	119	390.247	265.861	0	
	120	390.758	265.725	0	
	121	391.406	265.491	0	
	122	391.591	265.513	0	
	123	391.933	265.808	0	
	124	392.116	266.487	0	
	125	392.178	266.896	0	
	126	392.514	267.813	0	
	127	392.723	268.133	0	
	128	392.833	268.567	0	
	129	393.1	269.264	0	
	130	393.255	269.748	0	
	131	393.294	270.615	0	
	132	393.205	270.852	0	
	133	392.604	270.939	0	
	134	391.28	271.199	0	
	135	390.612	271.211	0	
	136	389.786	271.173	0	
	137	389.492	270.964	0	
	138	388.689	269.829	0	
	139	386.914	267.455	0	
	140	385.903	265.738	0	
	141	384.618	262.445	0	
	142	384.507	261.536	0	
	143	385.387	262.266	0	
	144	386.57	265.687	0	
	145	386.702	267.381	0	
	146	386.518	270.109	0	
	147	386.483	271.258	0	
	148	386.961	273.483	0	
	149	388.514	275.226	0	
	150	389.539	275.899	0	
	151	392.023	276.795	0	
	152	393.235	276.894	0	
	153	395.116	276.746	0	
	154	396.759	276.739	0	
	155	397.676	276.838	0	
	156	399.277	276.944	0	
	157	399.978	276.839	0	
	158	401.061	275.698	0	
	159	401.07	272.413	0	
	160	400.416	269.722	0	
